N     X           Y            Z
347   -2.086428    3.277125    -1.117723
348   -1.074186    0.037973    4.482795
349   -3.041292    -2.251519    -0.700842
350   -3.041305    1.144694    -2.061581
351   -2.113810    -2.773330    2.384790
352   -1.074195    3.067819    3.268847
353   -2.113832    3.652728    -0.189898
354   0.633061    -0.351844    -3.071129
355   0.633066    -1.866053    -2.464443
356   1.949707    -2.606811    1.915874
357   2.413225    -1.353386    2.851273
358   2.413212    2.947738    1.127970
359   1.949689    3.208522    -0.414117
360   1.926010    0.434378    -2.463745
361   3.242490    -0.306291    1.916024
362   3.242484    1.544553    1.174459
363   1.926019    -2.015371    -1.482224
364   2.492592    -2.334131    0.402698
365   2.492580    1.966461    -1.320391
366   3.291789    0.938386    -0.338674
367   3.291795    -0.912614    0.402954
368   2.725175    -0.593826    -1.482128
369   2.578704    1.212089    3.025185
370   0.911468    2.150095    -2.521513
371   0.911486    -3.296327    -0.339332
372   -0.381286    1.364026    -3.129491
373   -0.381271    -3.147530    -1.321877
374   0.368893    -3.569581    1.173837
375   1.749938    0.164976    3.960843
376   1.749931    2.615568    2.978980
377   0.368870    3.392569    -1.615642
378   -1.357857    -0.376017    -3.131841
379   0.310638    -2.829212    3.025838
380   0.774240    -1.575559    3.961407
381   -1.357853    -1.890500    -2.525044
382   0.774223    3.874967    1.777581
383   0.310615    4.135798    0.235213
384   -2.700621    -2.074485    -1.621959
385   -1.317192    -2.852817    2.980555
386   -0.565652    -0.820537    4.497194
387   -2.700630    0.380623    -2.605632
388   -0.565667    3.698767    2.686474
389   -1.317216    4.121595    0.186162
390   -1.260412    -3.591474    1.127160
391   -1.724372    -3.330445    -0.416384
392   0.408514    0.921561    4.495125
393   -1.724391    2.121555    -2.600801
394   0.408510    2.437199    3.887864
395   -1.260436    3.376164    -1.664519
396   -1.857044    -1.614150    3.894408
397   -3.531728    -0.671956    -1.677075
398   -1.857062    3.856604    1.702477
399   -2.366644    -0.761979    3.882759
400   -2.652684    -1.535474    3.305519
401   -3.875347    -0.847593    -0.762143
402   -3.875350    0.086833    -1.136533
403   -2.366657    3.232142    2.282461
404   -2.652700    3.393072    1.330831
405   1.974615    2.821260    -1.335925
406   1.123488    -2.484313    -1.849979
407   2.894185    -0.476568    2.837382
408   1.974633    -2.963179    0.981687
409   1.123477    0.519653    -3.053558
410   2.894177    2.303903    1.723348
411   1.184804    2.913091    -1.936090
412   0.616710    -3.124384    -1.279087
413   2.562705    0.281988    3.391588
414   1.184825    -3.444013    0.610968
415   2.562699    2.137871    2.648003
416   0.616695    1.376835    -3.082560
417   2.991838    -1.679331    -0.164318
418   2.708768    -1.520072    -1.106060
419   2.991830    1.101299    -1.278414
420   2.708762    0.335842    -1.849656
421   3.559954    0.781665    0.611670
422   3.559957    -0.143051    0.982170
423   1.915072    3.565513    0.519416
424   1.915091    -2.220451    2.837641
425   0.143917    -1.223968    -3.054854
426   1.096194    -2.331567    3.392322
427   1.096174    4.028882    0.843923
428   -0.850838    -1.236144    -3.085235
429   -1.867539    0.484371    -3.144806
430   0.432004    -0.809378    4.505512
431   -0.488228    -3.297826    2.648445
432   0.431990    3.696443    2.700195
433   -1.867529    -2.521816    -1.940337
434   -0.488253    4.214182    -0.361342
435   -0.459520    -3.667429    1.722994
436   -1.379848    1.353879    -3.143184
437   0.919059    3.066908    3.300478
438   0.919068    0.060484    4.505042
439   -1.379832    -3.149651    -1.338784
440   -0.459545    3.842525    -1.285970
441   -2.047170    -3.486794    0.517775
442   -0.098315    1.783212    4.450648
443   -2.047192    2.879669    -2.033035
444   -1.560391    -0.836003    4.457249
445   -3.514666    -1.602261    -1.296883
446   -2.131544    4.003695    0.746794
447   -2.131523    -2.380432    3.304681
448   -3.514673    0.263495    -2.044424
449   -1.560406    3.682367    2.646904
450   -3.372718    -2.415078    0.230236
451   -2.906802    -2.677206    1.780287
452   -1.584098    0.899592    4.449561
453   -1.584102    2.421618    3.839741
454   -3.372733    1.905895    -1.501020
455   -2.906823    3.165793    -0.560791
456   -4.218637    -0.087771    -0.219024
457   -3.163296    -0.681515    3.291974
458   -3.163307    2.766006    1.910679
459   1.626173    -1.836633    -2.414101
460   1.626168    -0.338358    -3.014404
461   3.216705    -1.233215    2.277129
462   2.758065    -2.473449    1.351573
463   2.758049    2.722419    -0.730221
464   3.216694    2.464379    0.795638
465   3.548801    1.705194    0.241176
466   2.416861    -0.430056    -2.414005
467   3.265448    -1.833158    0.780019
468   3.548810    -1.066905    1.351854
469   3.265437    1.864618    -0.701544
470   2.416865    -1.355734    -2.043121
471   2.728229    3.093385    0.195155
472   2.728246    -2.102831    2.277089
473   1.137602    -1.207916    -3.014800
474   0.106921    -3.755272    -0.702541
475   0.390265    2.997541    -2.529290
476   2.222846    1.040824    3.938372
477   0.106901    2.231279    -3.101132
478   2.222844    1.966511    3.567483
479   0.390288    -3.914698    0.240191
480   0.272734    -2.435677    3.939876
481   -1.844954    -1.244241    -3.105435
482   0.272712    4.482262    1.168111
483   -2.351254    -0.386013    -3.135730
484   -0.057552    -1.676475    4.495158
485   -0.057572    4.316505    2.093990
